# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-M" "--fraction" "-a" "calb_features.gtf" "-o" "counts.txt" "results/A1_S1_STAR/Aligned.sortedByCoord.out.bam" "results/A1_S1_STAR/Aligned.toTranscriptome.out.bam" "results/A2_S2_STAR/Aligned.sortedByCoord.out.bam" "results/A2_S2_STAR/Aligned.toTranscriptome.out.bam" "results/A3_S3_STAR/Aligned.sortedByCoord.out.bam" "results/A3_S3_STAR/Aligned.toTranscriptome.out.bam" "results/B1_S4_STAR/Aligned.sortedByCoord.out.bam" "results/B1_S4_STAR/Aligned.toTranscriptome.out.bam" "results/B2_S5_STAR/Aligned.sortedByCoord.out.bam" "results/B2_S5_STAR/Aligned.toTranscriptome.out.bam" "results/B3_S6_STAR/Aligned.sortedByCoord.out.bam" "results/B3_S6_STAR/Aligned.toTranscriptome.out.bam" "results/C1_S7_STAR/Aligned.sortedByCoord.out.bam" "results/C1_S7_STAR/Aligned.toTranscriptome.out.bam" "results/C2_S8_STAR/Aligned.sortedByCoord.out.bam" "results/C2_S8_STAR/Aligned.toTranscriptome.out.bam" "results/C3_S9_STAR/Aligned.sortedByCoord.out.bam" "results/C3_S9_STAR/Aligned.toTranscriptome.out.bam" "results/D1_S10_STAR/Aligned.sortedByCoord.out.bam" "results/D1_S10_STAR/Aligned.toTranscriptome.out.bam" "results/D2_S11_STAR/Aligned.sortedByCoord.out.bam" "results/D2_S11_STAR/Aligned.toTranscriptome.out.bam" "results/D3_S12_STAR/Aligned.sortedByCoord.out.bam" "results/D3_S12_STAR/Aligned.toTranscriptome.out.bam" "results/E1_S13_STAR/Aligned.sortedByCoord.out.bam" "results/E1_S13_STAR/Aligned.toTranscriptome.out.bam" "results/E2_S14_STAR/Aligned.sortedByCoord.out.bam" "results/E2_S14_STAR/Aligned.toTranscriptome.out.bam" "results/E3_S15_STAR/Aligned.sortedByCoord.out.bam" "results/E3_S15_STAR/Aligned.toTranscriptome.out.bam" "results/F1_S16_STAR/Aligned.sortedByCoord.out.bam" "results/F1_S16_STAR/Aligned.toTranscriptome.out.bam" "results/F2_S17_STAR/Aligned.sortedByCoord.out.bam" "results/F2_S17_STAR/Aligned.toTranscriptome.out.bam" "results/F3_S18_STAR/Aligned.sortedByCoord.out.bam" "results/F3_S18_STAR/Aligned.toTranscriptome.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/A1_S1_STAR/Aligned.sortedByCoord.out.bam	results/A1_S1_STAR/Aligned.toTranscriptome.out.bam	results/A2_S2_STAR/Aligned.sortedByCoord.out.bam	results/A2_S2_STAR/Aligned.toTranscriptome.out.bam	results/A3_S3_STAR/Aligned.sortedByCoord.out.bam	results/A3_S3_STAR/Aligned.toTranscriptome.out.bam	results/B1_S4_STAR/Aligned.sortedByCoord.out.bam	results/B1_S4_STAR/Aligned.toTranscriptome.out.bam	results/B2_S5_STAR/Aligned.sortedByCoord.out.bam	results/B2_S5_STAR/Aligned.toTranscriptome.out.bam	results/B3_S6_STAR/Aligned.sortedByCoord.out.bam	results/B3_S6_STAR/Aligned.toTranscriptome.out.bam	results/C1_S7_STAR/Aligned.sortedByCoord.out.bam	results/C1_S7_STAR/Aligned.toTranscriptome.out.bam	results/C2_S8_STAR/Aligned.sortedByCoord.out.bam	results/C2_S8_STAR/Aligned.toTranscriptome.out.bam	results/C3_S9_STAR/Aligned.sortedByCoord.out.bam	results/C3_S9_STAR/Aligned.toTranscriptome.out.bam	results/D1_S10_STAR/Aligned.sortedByCoord.out.bam	results/D1_S10_STAR/Aligned.toTranscriptome.out.bam	results/D2_S11_STAR/Aligned.sortedByCoord.out.bam	results/D2_S11_STAR/Aligned.toTranscriptome.out.bam	results/D3_S12_STAR/Aligned.sortedByCoord.out.bam	results/D3_S12_STAR/Aligned.toTranscriptome.out.bam	results/E1_S13_STAR/Aligned.sortedByCoord.out.bam	results/E1_S13_STAR/Aligned.toTranscriptome.out.bam	results/E2_S14_STAR/Aligned.sortedByCoord.out.bam	results/E2_S14_STAR/Aligned.toTranscriptome.out.bam	results/E3_S15_STAR/Aligned.sortedByCoord.out.bam	results/E3_S15_STAR/Aligned.toTranscriptome.out.bam	results/F1_S16_STAR/Aligned.sortedByCoord.out.bam	results/F1_S16_STAR/Aligned.toTranscriptome.out.bam	results/F2_S17_STAR/Aligned.sortedByCoord.out.bam	results/F2_S17_STAR/Aligned.toTranscriptome.out.bam	results/F3_S18_STAR/Aligned.sortedByCoord.out.bam	results/F3_S18_STAR/Aligned.toTranscriptome.out.bam
C1_00350C_A	Ca22chr1A_C_albicans_SC5314	50806	51681	-	876	1907.75	0	2795	0	2229.50	0	2131.50	0	1457.25	0	1295.25	0	1464.50	0	1102.67	0	1426.12	0	4153	0	4694.20	0	7318.29	0	6441.33	0	3610.17	0	4152.50	0	2611.12	0	4265	0	3324.25	0
C1_00360W_A	Ca22chr1A_C_albicans_SC5314	53099	54442	+	1344	378.25	0	521	0	411	0	554.50	0	468.50	0	336.50	0	268	0	243.50	0	352.75	0	555.50	0	687	0	894.25	0	484.50	0	390.33	0	376	0	210	0	359	0	312	0
C1_00370W_A	Ca22chr1A_C_albicans_SC5314	54558	54842	+	285	101	0	124.50	0	101.50	0	101.50	0	120	0	88	0	64	0	54	0	73	0	122	0	174.50	0	190	0	137	0	86.50	0	96.50	0	94	0	115.50	0	96.50	0
C1_00380C_A	Ca22chr1A_C_albicans_SC5314	54837	57074	-	2238	2515.50	0	3476.50	0	2693.15	0	2873	0	2484.50	0	1985.50	0	1833	0	1624	0	2077.50	0	2646.75	0	3017.75	0	3873.25	0	2875.58	0	1851.50	0	1931.50	0	1470.83	0	2268.33	0	1979.75	0
C1_00390W_A	Ca22chr1A_C_albicans_SC5314	59349	62552	+	3204	14616.42	0	30574.29	0	26444.04	0	25517.98	0	18546.92	0	18016.92	0	23805.00	0	15753.92	0	23556.21	0	12708.79	0	14980.50	0	19814.67	0	21515.92	0	11566.00	0	14206.04	0	11673.50	0	17321.87	0	20287.50	0
C1_00400W_A	Ca22chr1A_C_albicans_SC5314	63202	64350	+	1149	4352	0	6075	0	4954.50	0	6346	0	5213.50	0	4320.50	0	4026	0	3492.75	0	4704.50	0	11335.25	0	13131.75	0	16565.75	0	16713.50	0	10246.50	0	10807.08	0	8241.67	0	12794	0	11955.75	0
C1_00410C_A	Ca22chr1A_C_albicans_SC5314	64696	66324	-	1629	900	0	1281.25	0	971.33	0	1118.75	0	821.58	0	731	0	778	0	619.50	0	755.50	0	1136	0	1189.25	0	1648	0	1415.25	0	839.75	0	831.50	0	863	0	1218.75	0	1195	0
C1_00420W_A	Ca22chr1A_C_albicans_SC5314	67843	68814	+	972	3658	0	4502.75	0	3556.42	0	3623.25	0	2957.50	0	2374	0	1784.50	0	1773.50	0	2128.50	0	3798	0	4204	0	4930.08	0	4002	0	2419.50	0	2751.33	0	2192.25	0	3194.50	0	2754.25	0
C1_00430W_A	Ca22chr1A_C_albicans_SC5314	69226	70902	+	1677	1903.50	0	2260.75	0	2033	0	2024.50	0	1621	0	1458.50	0	1222.50	0	1076.50	0	1381	0	2152	0	2378	0	3100	0	1988.50	0	1367	0	1450.50	0	1095.50	0	1649	0	1539.50	0
C1_00440W_A	Ca22chr1A_C_albicans_SC5314;Ca22chr1A_C_albicans_SC5314	71068;71158	71080;72581	+;+	1437	2832.25	0	3911.75	0	2969.17	0	3492.25	0	3036.50	0	2385.00	0	2111.25	0	1821	0	2442.75	0	4121	0	4573	0	5791	0	4977	0	3273.25	0	3160	0	2639.25	0	3897.50	0	3376.75	0
C1_00450C_A	Ca22chr1A_C_albicans_SC5314;Ca22chr1A_C_albicans_SC5314	72741;73182	73091;73283	-;-	453	309	0	449.50	0	331.50	0	409	0	338	0	235	0	219.50	0	210.50	0	286	0	703.50	0	766	0	861.50	0	895.50	0	500	0	534	0	467.50	0	606.50	0	509	0
C1_00460W_A	Ca22chr1A_C_albicans_SC5314	73580	73900	+	321	937.88	0	1232.50	0	805	0	1028.17	0	868	0	610.50	0	550	0	481.50	0	581	0	1582.50	0	1876	0	2271.75	0	1777	0	1168.50	0	1179	0	987.50	0	1317.50	0	1051	0
C1_00470C_A	Ca22chr1A_C_albicans_SC5314	74056	75381	-	1326	829.50	0	1106.50	0	795.50	0	1060	0	901.75	0	720	0	753	0	633.50	0	716.17	0	1148.25	0	1349.72	0	1607.83	0	1288	0	816.50	0	846	0	669.17	0	1062.50	0	829.50	0
C1_00480C_A	Ca22chr1A_C_albicans_SC5314	75573	77828	-	2256	2271.50	0	2660	0	2067	0	2715.25	0	2301.75	0	1734	0	1371.50	0	1363.50	0	1691.25	0	2069	0	2360	0	2883	0	2512.50	0	1558.50	0	1608.50	0	1308.50	0	1875	0	1564.50	0
C1_00490C_A	Ca22chr1A_C_albicans_SC5314	78008	78367	-	360	2299.75	0	2611.08	0	2131.75	0	2778	0	2089.75	0	1776	0	1654.50	0	1593.25	0	1911.25	0	2690	0	2925.50	0	3404.50	0	2542.17	0	1806.42	0	1675.75	0	1614.83	0	2418	0	1790	0
C1_00500C_A	Ca22chr1A_C_albicans_SC5314	78641	79669	-	1029	3184.25	0	4328.67	0	3221.37	0	4169.50	0	3459	0	2658.50	0	2474.50	0	2228	0	2760	0	3594.50	0	3864.75	0	5099.58	0	4000.50	0	2505.75	0	2501	0	2255	0	3449.50	0	2906	0
C1_00510W_A	Ca22chr1A_C_albicans_SC5314	80124	81053	+	930	643	0	723	0	554.50	0	723.25	0	653	0	564	0	407.50	0	360.75	0	444	0	1996.50	0	2047.25	0	2636.50	0	1710.50	0	1114.75	0	1159	0	893	0	1344.50	0	1086.50	0
C1_00520W_A	Ca22chr1A_C_albicans_SC5314	81233	81901	+	669	416.50	0	574.50	0	416	0	673	0	570	0	469	0	361.50	0	265	0	422.50	0	620	0	799.50	0	1008.50	0	677.50	0	523.50	0	478.50	0	372	0	588.50	0	461.50	0
C1_00530C_A	Ca22chr1A_C_albicans_SC5314	82117	84558	-	2442	2510.50	0	3114	0	2283.00	0	3405.50	0	2930.90	0	2245.42	0	1610.90	0	1541.50	0	1823.50	0	2993	0	3499.33	0	4240	0	3167.56	0	2170	0	2281.25	0	1700.50	0	2572	0	2296.50	0
C1_00540C_A	Ca22chr1A_C_albicans_SC5314	85080	87248	-	2169	1479.50	0	2028.50	0	1485.25	0	1979	0	1621	0	1367	0	1202	0	1069.25	0	1307	0	1338.50	0	1506	0	1858	0	1798	0	1051.25	0	1075.50	0	855.50	0	1225.25	0	1117	0
C1_00550W_A	Ca22chr1A_C_albicans_SC5314	87900	89810	+	1911	1001	0	1504.75	0	1128.25	0	1432	0	1262.50	0	1092.25	0	1017.50	0	682.50	0	969	0	1790	0	2095.50	0	2676.38	0	2105.75	0	1475.25	0	1430	0	1067.83	0	1711	0	1496	0
C1_00560W_A	Ca22chr1A_C_albicans_SC5314	90099	91271	+	1173	831.75	0	1385.25	0	981.50	0	1313	0	970.75	0	973	0	1149.25	0	830	0	1103.25	0	855.75	0	1046.75	0	1360.83	0	1140	0	706.75	0	746.50	0	582.25	0	865.33	0	903.25	0
C1_00570C_A	Ca22chr1A_C_albicans_SC5314	91310	93694	-	2385	1757	0	2112.75	0	1765.92	0	1998.25	0	1726.75	0	1332.75	0	1174	0	1000.50	0	1279	0	3052.75	0	3390.12	0	4167.25	0	2980	0	2146	0	2022.50	0	1457.17	0	2377	0	2167	0
C1_00580W_A	Ca22chr1A_C_albicans_SC5314	93970	94899	+	930	267	0	440.50	0	295.79	0	397	0	329	0	258.50	0	229	0	207	0	239.50	0	656.50	0	670.50	0	857.50	0	568.50	0	456.50	0	423.50	0	356	0	472	0	397	0
C1_00590W_A	Ca22chr1A_C_albicans_SC5314	95214	96494	+	1281	4798.50	0	6054.17	0	4422.50	0	5790.50	0	4627	0	3789.17	0	2902.25	0	2780	0	3333.50	0	7098	0	6794.25	0	8493.50	0	7252.50	0	4153.50	0	4136.25	0	3568.25	0	4693.50	0	3630	0
C1_00600W_A	Ca22chr1A_C_albicans_SC5314	96816	101423	+	4608	2842.50	0	3635.17	0	3024	0	3365.50	0	2937	0	2430	0	1829	0	1766.50	0	2122	0	4232.50	0	4694	0	6239.50	0	3887.50	0	2570.75	0	2486.50	0	1814.50	0	2993.50	0	2494.50	0
C1_00610W_A	Ca22chr1A_C_albicans_SC5314	101751	103523	+	1773	3810.75	0	4461.75	0	3631.40	0	4465.50	0	3694.67	0	2982.50	0	2230.50	0	2450.17	0	2683.25	0	7640.50	0	8192.17	0	10418.83	0	8714.50	0	5285.75	0	5519.90	0	4549.50	0	6817.50	0	5595.75	0
C1_00620W_A	Ca22chr1A_C_albicans_SC5314	103868	104809	+	942	1165	0	1482.25	0	1289	0	1445.67	0	1336.50	0	1032.50	0	883.50	0	809	0	1054.50	0	1846	0	2247	0	2696	0	1818.50	0	1319	0	1222.62	0	1017.50	0	1375	0	1246.50	0
C1_00630W_A	Ca22chr1A_C_albicans_SC5314	105179	106924	+	1746	548	0	577.50	0	469.50	0	635.50	0	518	0	419.50	0	365	0	337.50	0	379.50	0	1770.25	0	1993.25	0	2605.50	0	1981.50	0	1285.25	0	1218.50	0	911	0	1325.83	0	1051.50	0
C1_00640C_A	Ca22chr1A_C_albicans_SC5314	107125	111027	-	3903	4537.82	0	5668.08	0	4183	0	5295.67	0	4838.17	0	3653	0	3367	0	2899	0	3909.50	0	3362	0	3625.33	0	4638.50	0	4050.90	0	2601.50	0	2598.50	0	1984.50	0	2718.50	0	2602	0
C1_00650C_A	Ca22chr1A_C_albicans_SC5314	111571	112251	-	681	754.75	0	1067	0	794.50	0	946.83	0	875	0	766.50	0	586.50	0	562.50	0	709	0	1573.50	0	1831	0	2244.33	0	1660.50	0	1008.50	0	1041	0	851.67	0	1263.75	0	1117.73	0
